gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx1250,256,7,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0472,auto,0.0,44.75,6402.18
gfx1250,256,7,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3886,auto,0.0,44.28,6333.12
gfx1250,256,8,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0092,auto,0.0,1.37,182.51
gfx1250,256,8,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0122,auto,0.0,65.94,8261.09
gfx1250,256,8,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0202,auto,0.0,59.84,7494.79
gfx1250,256,8,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0121,auto,0.0,74.77,9367.12
gfx1250,256,8,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0152,auto,0.0,63.70,7979.39
gfx1250,256,8,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0473,auto,0.0,51.04,6390.77
gfx1250,256,8,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3892,auto,0.0,50.53,6324.81
gfx1250,256,9,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0091,auto,0.0,1.55,184.32
gfx1250,256,9,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0123,auto,0.0,73.89,8231.09
gfx1250,256,9,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0206,auto,0.0,66.10,7360.25
gfx1250,256,9,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0121,auto,0.0,84.50,9411.60
gfx1250,256,9,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0154,auto,0.0,71.00,7908.18
gfx1250,256,9,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0365,auto,0.0,74.44,8286.12
gfx1250,256,9,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3241,auto,0.0,68.27,7596.82
gfx1250,256,10,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0092,auto,0.0,1.71,185.16
gfx1250,256,10,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0123,auto,0.0,81.68,8191.34
gfx1250,256,10,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0207,auto,0.0,72.80,7298.15
gfx1250,256,10,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0122,auto,0.0,92.86,9310.71
gfx1250,256,10,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0152,auto,0.0,79.43,7964.22
gfx1250,256,10,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0367,auto,0.0,82.27,8243.78
gfx1250,256,10,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3256,auto,0.0,75.51,7564.11
gfx1250,256,11,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0091,auto,0.0,1.90,187.51
gfx1250,256,11,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0125,auto,0.0,88.85,8102.28
